time(s),value
0.25925302505493164,0.00
0.5222070217132568,0.00
0.7744598388671875,0.00
1.0370731353759766,0.00
1.2984721660614014,0.00
1.552473545074463,0.00
1.8052265644073486,0.00
2.06325626373291,0.00
2.3257603645324707,0.00
2.5794763565063477,0.00
2.8389315605163574,0.00
3.0935256481170654,0.00
3.356799602508545,0.00
3.611604928970337,0.00
3.866358518600464,0.00
4.123246431350708,0.00
4.388741493225098,0.00
4.64097785949707,0.00
4.895709276199341,0.00
5.155121803283691,0.00
5.423564910888672,0.00
5.680206060409546,0.00
5.934696674346924,0.00
6.202964544296265,0.00
6.4676854610443115,0.00
6.721506834030151,0.00
6.988347291946411,0.00
7.251702785491943,0.00
7.516794204711914,0.00
7.774893283843994,0.00
8.036096572875977,0.00
8.294322490692139,0.00
8.558133602142334,0.00
8.812195301055908,0.00
9.07454800605774,0.00
9.340523719787598,0.00
9.610647916793823,0.00
9.870269060134888,0.00
10.126755475997925,0.00
10.382323741912842,0.00
10.641496419906616,0.00
10.906350135803223,0.00
11.158779859542847,0.00
11.422157287597656,0.00
11.68325924873352,0.00
11.941201210021973,0.00
12.194981098175049,0.00
12.459709167480469,0.00
12.717110633850098,0.00
12.976807832717896,0.00
13.239843606948853,0.00
13.505506753921509,0.00
13.764802932739258,0.00
14.02997875213623,0.00
14.28257942199707,0.00
14.544654607772827,0.00
14.807591438293457,0.00
15.073477268218994,0.00
15.331816911697388,0.00
15.589131116867065,0.00
15.854391098022461,0.00
16.10764980316162,0.00
16.377354621887207,0.00
16.63235306739807,0.00
16.889779329299927,0.00
17.142412185668945,0.00
17.394309520721436,0.00
17.65652847290039,0.00
17.921709299087524,0.00
18.188612461090088,0.00
18.456757307052612,0.00
19.068681240081787,0.00
19.331557273864746,0.00
19.59020161628723,0.00
19.859256505966187,0.00
