input,colorTemp,lux,R,G,B,
1,45504,95,956,321,296,365
2,47635,95,957,321,296,366
3,45504,95,955,321,296,365
4,42938,95,945,320,293,360
1,32453,81,847,296,256,309
2,33307,76,829,293,248,300
3,33671,78,841,295,252,305
4,34357,77,836,294,250,303
1,57897,95,1003,334,308,385
2,49614,98,1000,334,309,383
3,55812,96,999,333,307,383
4,51935,98,1001,334,309,384
1,53705,74,860,296,255,317
2,57512,71,851,294,251,313
3,55531,73,856,295,253,315
4,56553,72,850,295,252,314
p1v2,36297,88,910,318,278,338
1,36638,87,910,318,277,337
2,36638,87,909,318,277,337
3,36638,87,909,318,277,337
p2v2,903,90,944,327,289,354
1,38700,92,945,327,290,354
2,40075,92,949,328,291,356
3,38700,92,946,327,290,354
p3v2,37179,80,900,314,266,324
1,38701,80,902,315,267,326
2,38701,80,902,315,267,326
3,36795,81,901,314,267,325
p4v2,20755,75,753,280,230,269
1,20755,75,754,280,230,269
2,21694,74,754,280,230,270
3,20755,75,754,280,230,269
